PARA_A,PARA_B,TOTAL,numbers,Money_Value,District
4.18,2.5,6.68,5,3.38,2
0,4.83,4.83,5,0.94,2
0.51,0.23,0.74,5,0,2
0,10.8,10.8,6,11.75,2
0,0.08,0.08,5,0,2
0,0.83,0.83,5,2.95,2
1.1,7.41,8.51,5,44.95,2
8.5,12.03,20.53,5.5,7.79,2
8.4,11.05,19.45,5.5,7.34,2
3.98,0.99,4.97,5,1.93,2
5.43,10.77,16.2,5,4.42,2
15.38,40.14,55.52,5,0.96,2
5.47,7.63,13.1,5,10.43,2
1.09,0.35,1.44,5,0,2
0,0.84,0.84,5,0.007,2
1.95,9.01,10.96,5,9,2
8.54,31.63,40.17,5,41.28,2
4.18,4.83,9.01,5.5,14.03,2
1.81,1.03,2.84,5,0,2
4.86,46.78,51.64,5.5,63.18,2
